gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	657957	181689	0	184	0	0	9	0	1263729	0	0
RB1	349930	450	41	1471404	375945	0	131	6	0	1	7	472434	1.69E-10	1.59E-06
PTEN	259678	300	34	644964	149952	0	22	1	0	50	41	10911990	2.55E-07	1.60E-03
KIAA1211	460708	489	17	1841598	544428	0	39	3	0	36	40	7973655	6.00E-06	2.83E-02
GABRG1	36353	926	-2	725478	188292	0	20	1	0	34	64	9578823	9.19E-05	2.64E-01
LRP1B	8988	1120	-11	7300149	1748091	0	131	15	0	15	49	6624726	9.76E-05	2.64E-01
TGM3	555761	399	27	1067343	295005	0	27	3	0	50	70	13179375	9.79E-05	2.64E-01
DEFB112	65301	1242	-3	177216	43239	0	9	0	0	50	72	11115618	1.36E-04	3.21E-01
AMBN	262055	689	14	696084	194682	0	14	2	0	50	54	11633208	5.02E-04	1
ANKRD30B	NaN	NaN	NaN	2221590	538251	0	36	4	0	39	128	18919725	6.15E-04	1
TMEM132D	32086	969	-33	1653732	475416	0	51	7	0	4	10	1336149	6.23E-04	1
OR5J2	10101	1007	-38	460932	137811	0	13	0	0	5	5	1978131	6.77E-04	1
REG1B	10958	1389	-22	268380	64539	0	13	1	0	50	113	10487694	7.08E-04	1
SPHKAP	93607	615	-9	2573253	716958	0	47	4	0	24	39	6299688	7.46E-04	1
MEOX1	1180329	165	16	393198	102027	0	10	0	0	50	37	10390992	9.80E-04	1
