Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
ANKRD30B	28	B2M	6	1	5.49E-01	7.97E-01
ANKRD30B	28	CD1C	12	3	1.71E-01	6.37E-01
ANKRD30B	28	CFHR2	9	1	1.00E+00	1.00E+00
ANKRD30B	28	CRHBP	6	2	1.60E-01	6.26E-01
ANKRD30B	28	DEFB112	6	1	5.49E-01	7.97E-01
ANKRD30B	28	FAM83C	11	2	6.30E-01	8.53E-01
ANKRD30B	28	GABRB1	12	3	1.71E-01	6.37E-01
ANKRD30B	28	GABRG1	18	1	7.06E-01	8.85E-01
ANKRD30B	28	GCG	8	2	2.56E-01	6.79E-01
ANKRD30B	28	IGFBP2	10	2	3.53E-01	6.98E-01
ANKRD30B	28	KCNJ12	10	4	2.29E-02	4.41E-01
ANKRD30B	28	KIAA1211	28	3	1.00E+00	1.00E+00
ANKRD30B	28	KLRG1	7	1	1.00E+00	1.00E+00
ANKRD30B	28	KRTAP2-2	5	2	1.15E-01	5.70E-01
ANKRD30B	28	LRP1B	87	15	9.59E-02	5.39E-01
ANKRD30B	28	MEOX1	4	2	7.48E-02	5.08E-01
ANKRD30B	28	MMP24	6	2	1.60E-01	6.26E-01
ANKRD30B	28	MNDA	11	3	1.39E-01	6.09E-01
ANKRD30B	28	MRGPRX4	8	1	1.00E+00	1.00E+00
ANKRD30B	28	NAV3	56	8	6.41E-01	8.59E-01
ANKRD30B	28	OR2C3	13	2	6.65E-01	8.75E-01
ANKRD30B	28	OR4K17	12	2	6.46E-01	8.60E-01
ANKRD30B	28	OR5M9	11	1	1.00E+00	1.00E+00
ANKRD30B	28	OR8H2	8	2	2.56E-01	6.79E-01
ANKRD30B	28	PTEN	13	1	1.00E+00	1.00E+00
ANKRD30B	28	RB1	135	22	3.85E-02	4.67E-01
ANKRD30B	28	RPL37	2	1	2.31E-01	6.79E-01
ANKRD30B	28	SELP	15	2	1.00E+00	1.00E+00
ANKRD30B	28	SGCZ	13	3	2.04E-01	6.79E-01
ANKRD30B	28	SLC8A3	20	3	7.20E-01	8.86E-01
ANKRD30B	28	SPHKAP	39	5	1.00E+00	1.00E+00
ANKRD30B	28	TGM3	10	1	1.00E+00	1.00E+00
ANKRD30B	28	TMEM132D	50	8	3.41E-01	6.98E-01
ANKRD30B	28	TP53	197	26	3.87E-01	7.06E-01
ANKRD30B	28	TRIM63	8	1	1.00E+00	1.00E+00
ANKRD30B	28	UNC93A	8	3	6.11E-02	4.95E-01
ANKRD30B	28	ZCCHC5	11	4	3.29E-02	4.41E-01
B2M	6	CD1C	12	1	2.80E-01	6.86E-01
B2M	6	CFHR2	9	1	2.17E-01	6.79E-01
B2M	6	FAM83C	11	1	2.59E-01	6.79E-01
B2M	6	GABRB1	12	1	2.80E-01	6.86E-01
B2M	6	KCNJ12	10	1	2.38E-01	6.79E-01
B2M	6	LRP1B	87	3	6.77E-01	8.81E-01
B2M	6	NAV3	56	1	1.00E+00	1.00E+00
B2M	6	OR4K17	12	1	2.80E-01	6.86E-01
B2M	6	PTEN	13	1	3.00E-01	6.91E-01
B2M	6	RB1	135	6	8.37E-02	5.27E-01
B2M	6	SELP	15	1	3.38E-01	6.98E-01
B2M	6	SPHKAP	39	1	1.00E+00	1.00E+00
B2M	6	TMEM132D	50	1	1.00E+00	1.00E+00
