Gene1	Gene1Samples	Gene2	Gene2Samples	Common	P_value	Adjusted_p
ANKRD30B	28	KCNJ12	10	4	2.29E-02	4.41E-01
ANKRD30B	28	RB1	135	22	3.85E-02	4.67E-01
ANKRD30B	28	ZCCHC5	11	4	3.29E-02	4.41E-01
B2M	6	TP53	197	3	3.44E-02	4.41E-01
CFHR2	9	GCG	8	2	3.44E-02	4.41E-01
CFHR2	9	OR4K17	12	3	7.89E-03	2.82E-01
CFHR2	9	TRIM63	8	2	3.44E-02	4.41E-01
CRHBP	6	GABRB1	12	2	3.39E-02	4.41E-01
CRHBP	6	IGFBP2	10	2	2.37E-02	4.41E-01
CRHBP	6	NAV3	56	4	3.34E-02	4.41E-01
CRHBP	6	SGCZ	13	2	3.96E-02	4.67E-01
FAM83C	11	GABRB1	12	3	1.46E-02	4.41E-01
GCG	8	MEOX1	4	2	6.26E-03	2.67E-01
GCG	8	MNDA	11	3	4.14E-03	2.67E-01
GCG	8	NAV3	56	5	2.31E-02	4.41E-01
GCG	8	NUDT19	7	2	2.08E-02	4.41E-01
GCG	8	OR2C3	13	3	6.93E-03	2.67E-01
GCG	8	SLC8A3	20	4	2.44E-03	2.67E-01
GCG	8	SPHKAP	39	5	4.37E-03	2.67E-01
GCG	8	TRIM63	8	2	2.72E-02	4.41E-01
KCNJ12	10	PRNP	1	1	4.39E-02	4.67E-01
KCNJ12	10	SLC8A3	20	4	6.51E-03	2.67E-01
KIAA1211	28	LRP1B	87	19	7.92E-04	1.98E-01
KIAA1211	28	OR5M9	11	4	3.29E-02	4.41E-01
KIAA1211	28	TCP10L2	7	4	4.99E-03	2.67E-01
KIAA1211	28	TGM3	10	4	2.29E-02	4.41E-01
KLRG1	7	TRIM63	8	2	2.08E-02	4.41E-01
KLRG1	7	ZCCHC5	11	3	2.66E-03	2.67E-01
MEOX1	4	NUDT19	7	2	4.73E-03	2.67E-01
MEOX1	4	OR2C3	13	3	5.67E-04	1.98E-01
MEOX1	4	SLC8A3	20	2	3.95E-02	4.67E-01
MEOX1	4	TMEM132D	50	3	3.39E-02	4.41E-01
MMP24	6	TRIM63	8	2	1.51E-02	4.41E-01
MRGPRX4	8	TCP10L2	7	2	2.08E-02	4.41E-01
MRGPRX4	8	UNC93A	8	2	2.72E-02	4.41E-01
NAV3	56	RB1	135	40	4.14E-02	4.67E-01
NAV3	56	TP53	197	53	4.30E-02	4.67E-01
NUDT19	7	TMEM132D	50	4	4.30E-02	4.67E-01
OR2C3	13	SLC8A3	20	4	1.86E-02	4.41E-01
OR5M9	11	TMEM132D	50	6	1.59E-02	4.41E-01
PTEN	13	SELP	15	4	6.19E-03	2.67E-01
PTEN	13	ZCCHC5	11	3	1.84E-02	4.41E-01
SCGB1D1	3	TP53	197	1	4.93E-02	4.95E-01
SELP	15	TMEM132D	50	7	2.49E-02	4.41E-01
SLC8A3	20	TMEM132D	50	10	3.50E-03	2.67E-01
TCP10L2	7	TGM3	10	2	3.24E-02	4.41E-01
TGM3	10	TRIM63	8	2	4.22E-02	4.67E-01
TMEM132D	50	TP53	197	48	3.30E-02	4.41E-01
