gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
TP53	2069567	213	34	522041	144157	0	147	0	0	50	46	8758425	7.55E-015	8.06E-011
RB1	349930	450	41	1167452	298285	0	110	5	0	7	19	1730729	8.55E-015	8.06E-011
LRP1B	8988	1120	-11	5792137	1386983	0	117	12	0	15	40	5256238	8.37E-005	5.27E-001
GABRG1	36353	926	-2	575614	149396	0	17	1	0	34	50	7600099	2.02E-004	9.54E-001
PTEN	259678	300	34	511732	118976	0	14	1	0	50	39	8657870	3.07E-004	1
SGCZ	3398	1175	-34	381771	108498	0	16	2	0	15	22	2593981	6.64E-004	1
KCNJ12	405028	480	-60	510549	151593	0	17	2	0	50	94	13219687	7.24E-004	1
ANKRD30B	NaN	NaN	NaN	1762670	427063	0	32	4	0	39	113	15011425	7.66E-004	1
KLRG1	301954	416	11	237276	60840	0	8	0	0	50	57	11460735	9.68E-004	1
DEFB112	65301	1242	-3	140608	34307	0	7	0	0	50	62	8819434	1.25E-003	1
IGFBP2	582017	536	19	376870	125060	0	11	0	0	34	32	6029751	1.28E-003	1
TGM3	555761	399	27	846859	234065	0	22	3	0	50	62	10456875	1.35E-003	1
NAV3	23591	1077	-25	2858297	814411	0	59	9	0	27	76	7852754	1.45E-003	1
CD1C	120861	833	3	406276	111878	0	11	0	0	50	51	8564751	1.53E-003	1
MNDA	97345	985	2	502099	130637	0	15	1	0	50	65	8927087	2.08E-003	1
KIAA1211	460708	489	17	1461174	431964	0	34	1	0	6	2	806130	2.88E-003	1
SPHKAP	93607	615	-9	2041689	568854	0	40	3	0	24	34	4998344	2.95E-003	1
FAM83C	1290513	170	45	853957	289835	0	15	1	0	50	44	11018631	3.00E-003	1
TMEM132D	32086	969	-33	1312116	377208	0	44	7	0	4	9	1060137	3.36E-003	1
CFHR2	217857	853	-24	335634	85683	0	11	0	0	50	69	9432059	3.50E-003	1
MMP24	1290513	170	45	681746	191308	0	14	2	0	34	28	6236100	3.67E-003	1
PRNP	556280	447	11	306228	84162	0	10	1	0	50	51	10460424	3.82E-003	1
B2M	673122	428	36	149734	39884	0	5	0	0	50	51	9512672	4.50E-003	1
KRTAP2-2	NaN	NaN	NaN	143312	45292	0	5	0	0	50	124	18865808	4.54E-003	1
OR4K17	383274	768	-37	403741	119483	0	11	1	0	50	60	8889738	4.89E-003	1
GCG	95439	554	7	230347	55094	0	7	0	0	50	52	9595989	4.93E-003	1
SCGB1D1	2778889	450	53	111709	31772	0	5	0	0	50	47	9725612	5.34E-003	1
OR8H2	9992	1007	-32	365378	109681	0	10	0	0	26	43	6638489	5.54E-003	1
TCP10L2	NaN	NaN	NaN	428415	123708	0	13	2	0	35	99	12328719	5.72E-003	1
RPL37	212186	526	19	121849	34307	0	5	0	0	50	48	9193262	5.73E-003	1
OR2C3	272980	927	-14	373321	116948	0	11	0	0	50	64	8152053	5.87E-003	1
CRHBP	245514	418	17	395291	108160	0	8	1	0	50	44	9687587	6.26E-003	1
TTR	294098	541	20	176267	54925	0	6	0	0	50	55	10540699	6.89E-003	1
OR5M9	NaN	NaN	NaN	364533	107484	0	9	1	0	50	125	18928000	7.23E-003	1
NUDT19	420201	410	-36	435006	140946	0	9	0	0	50	49	9184474	7.42E-003	1
GABRB1	106512	689	24	580346	158353	0	12	1	0	50	151	21686756	7.56E-003	1
MEOX1	1180329	165	16	311974	80951	0	8	0	0	50	34	8244496	7.96E-003	1
TRIM63	748547	221	31	446329	108329	0	10	0	0	50	48	8290126	8.23E-003	1
MRGPRX4	631291	436	20	370617	121680	0	8	1	0	50	63	11776427	8.74E-003	1
ZCCHC5	263052	NaN	20	563615	160381	0	11	1	0	50	44	9233653	8.80E-003	1
UNC93A	254009	704	1	544687	166127	0	11	1	0	50	65	11896924	8.83E-003	1
SLC8A3	527365	409	28	1153763	328198	0	16	1	0	37	29	7340177	9.12E-003	1
SELP	294306	478	6	1029210	267696	0	15	1	0	50	54	10450960	9.16E-003	1
RD3	384781	399	5	232713	70980	0	7	0	0	50	54	10196953	1.00E-002	1
PRDM12	505506	211	24	437203	131651	0	8	1	0	45	33	8167939	1.00E-002	1
UBE2NL	5046	NaN	-19	183196	52052	0	8	1	0	50	131	10088962	1.02E-002	1
MORC1	88595	1029	-12	1252797	301158	0	25	5	0	27	43	6083831	1.03E-002	1
ECHDC2	626387	311	30	313664	102076	0	8	0	0	50	56	10298691	1.04E-002	1
C6orf103	NaN	NaN	NaN	2078193	530829	0	25	4	0	50	128	19351345	1.14E-002	1
DEFB110	70183	1258	-7	146354	28054	0	6	0	0	50	72	9247849	1.14E-002	1
OR52K1	190769	879	-1	365209	115934	0	9	1	0	50	57	9407554	1.14E-002	1
HPR	426658	372	14	425035	114920	0	12	0	0	28	39	6254183	1.15E-002	1
KRTAP12-4	874480	461	25	132496	41405	0	4	0	0	50	58	10746879	1.18E-002	1
FGF23	295315	860	33	297947	89401	0	8	0	0	50	52	8134984	1.19E-002	1
DCAF8L2	NaN	NaN	NaN	758134	205166	0	17	0	0	6	10	1824355	1.19E-002	1
CETN1	483873	521	28	210236	53911	0	6	0	0	50	47	9661392	1.19E-002	1
JPH2	526607	344	21	810693	266175	0	11	1	0	39	36	8578271	1.24E-002	1
PTPRH	1036194	199	2	1345071	391911	0	15	1	0	24	8	3737435	1.26E-002	1
TBCA	251029	581	40	141284	30589	0	4	0	0	50	32	8418566	1.39E-002	1
H1FOO	779764	210	59	408304	129623	0	10	1	0	50	38	9074793	1.39E-002	1
OR2T2	112460	903	-20	375687	118638	0	8	1	0	50	80	10488309	1.40E-002	1
MS4A14	433906	899	24	819143	223249	0	14	3	0	16	8	2251925	1.47E-002	1
IL17F	313097	427	23	197054	57460	0	6	0	0	50	52	10431356	1.49E-002	1
IL10	464449	357	29	224939	56446	0	6	1	0	50	56	9193262	1.49E-002	1
GIPC2	412519	265	-6	381602	109174	0	8	0	0	50	55	10840336	1.54E-002	1
OR2G6	112460	903	-20	367575	114582	0	13	3	0	13	31	2516241	1.55E-002	1
PLSCR2	122649	611	-16	284089	70304	0	8	0	0	50	84	13271739	1.56E-002	1
ETNK2	557652	370	34	474383	128440	0	9	0	0	50	49	10458903	1.56E-002	1
CA2	100997	1460	-18	323804	85345	0	8	0	0	17	21	3826498	1.57E-002	1
PRR23C	NaN	NaN	NaN	296595	103428	0	7	1	0	50	125	18923944	1.59E-002	1
TUBA3C	193250	922	-15	537589	158522	0	14	3	0	27	32	3746730	1.60E-002	1
REG1B	10958	1389	-22	212940	51207	0	12	1	0	8	17	1151059	1.61E-002	1
CPXCR1	1148	NaN	-19	365209	96161	0	13	2	0	50	142	10524475	1.61E-002	1
SELL	293592	597	13	490269	113061	0	10	0	0	50	53	8867430	1.66E-002	1
IFNA6	232155	466	-14	226967	61009	0	6	1	0	42	33	6393439	1.67E-002	1
KCNN2	7106	987	0	694590	201786	0	14	1	0	35	48	6408311	1.73E-002	1
DIO2	47674	533	-44	369265	109343	0	8	0	0	41	41	8764171	1.74E-002	1
KRTAP10-11	874480	461	25	351351	104442	0	7	1	0	50	58	10746879	1.74E-002	1
